Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
Round 1,National Institute of Technology Agartala,Transportation Engineering,G1,SC,248,248
Round 1,National Institute of Technology Calicut,Environmental Geotechnology,G1,ST,311,283
Round 1,National Institute of Technology Calicut,Electronics Design & Technology,G1,SC,368,343
Round 1,National Institute of Technology Calicut,Offshore Structures,G1,ST,271,271
Round 1,National Institute of Technology Calicut,Traffic & Transportation Planning,G1,ST,321,304
Round 1,National Institute of Technology Calicut,Computer Science & Engineering,G1,ST,423,352
Round 1,National Institute of Technology Delhi,Power & Energy Systems,G1,EWS,310,310
Round 1,National Institute of Technology Delhi,Smart Materials & Technology,G1,OPEN,430,380
Round 1,National Institute of Technology Durgapur,Environmental Science & Technology,G1,OBC-NCL,344,321
Round 1,National Institute of Technology Durgapur,Machine Design,G1,OBC-NCL,368,334
Round 1,National Institute of Technology Durgapur,Power System,G1,SC,231,214
Round 1,National Institute of Technology Hamirpur,Civil Engineering (Structures),G1,SC,315,267
Round 1,National Institute of Technology Hamirpur,Civil Engineering (Structures),G1,ST,329,279
Round 1,National Institute of Technology Hamirpur,Civil Engineering (Transportation),G1,OPEN,418,359
Round 1,National Institute of Technology Hamirpur,Civil Engineering (Water Resources),G1,ST,259,253
Round 1,"National Institute of Technology Karnataka, Surathkal",Chemical Engineering,G1,OPEN,450,398
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,G1,ST,235,235
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Structural and Construction Engineering,G1,ST,267,252
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Textile Engineering and Management,G1,OBC-NCL,290,290
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",VLSI Design,G1,OBC-NCL,469,442
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electric Vehicle Design,G1,OPEN,384,367
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering (Information Security),G1,ST,235,235
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,G1,EWS,457,427
Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G1,OBC-NCL,459,451
Round 1,Malaviya National Institute of Technology Jaipur,Environmental Engineering,G1,SC,398,319
Round 1,Malaviya National Institute of Technology Jaipur,Power Systems,G1,ST,250,225
Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G1,EWS,353,353
Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G1,OBC-NCL,526,509
Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G1,EWS,505,488
Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G1,ST,273,273
Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G2,SC,399,399
Round 1,Maulana Azad National Institute of Technology Bhopal,Biotechnology,G1,OPEN,473,406
Round 1,Maulana Azad National Institute of Technology Bhopal,Environmental Engineering,G1,OBC-NCL,353,337
Round 1,Maulana Azad National Institute of Technology Bhopal,Geotechnical Engineering,G1,OPEN,411,367
Round 1,Maulana Azad National Institute of Technology Bhopal,Geotechnical Engineering,G1,SC,312,287
Round 1,Maulana Azad National Institute of Technology Bhopal,Information Security,G1,SC,337,296
Round 1,Maulana Azad National Institute of Technology Bhopal,Nanotechnology,G1,SC,317,248
Round 1,Maulana Azad National Institute of Technology Bhopal,Renewable Energy,G1,ST,247,247
Round 1,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,G1,OBC-NCL,443,399
Round 1,Maulana Azad National Institute of Technology Bhopal,Thermal Engineering,G1,SC,349,304
Round 1,Maulana Azad National Institute of Technology Bhopal,Urban Planning,G1,OBC-NCL,438,345
Round 1,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,G1,OBC-NCL,479,459
Round 1,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,G1,OPEN,554,455
Round 1,Motilal Nehru National Institute of Technology Allahabad,Environmental Engineering,G1,OBC-NCL,396,379
Round 1,Motilal Nehru National Institute of Technology Allahabad,Engineering Mechanics and Design,G1,OBC-NCL,376,330
Round 1,Motilal Nehru National Institute of Technology Allahabad,Microelectronics & VLSI Design,G1,OPEN,638,563
Round 1,Motilal Nehru National Institute of Technology Allahabad,Product Design and Development,G1,OPEN,395,395
Round 1,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,G1,OPEN,492,455
Round 1,National Institute of Technology Agartala,Structural Engineering,G1,EWS,337,337
Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),G1,OBC-NCL,511,472
Round 1,National Institute of Technology Calicut,Chemical Engineering,G1,OPEN,408,353
Round 1,National Institute of Technology Calicut,Electronics Design & Technology,G1,ST,275,260
Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G2,OPEN,570,537
Round 1,National Institute of Technology Calicut,Machine Design,G1,OBC-NCL,509,495
Round 1,National Institute of Technology Calicut,Offshore Structures,G1,SC,288,259
Round 1,National Institute of Technology Calicut,Signal Processing,G1,OPEN,526,503
Round 1,National Institute of Technology Calicut,Structural Engineering,G1,OPEN,550,502
Round 1,National Institute of Technology Calicut,Water Resource Engineering,G1,OPEN,411,390
Round 1,National Institute of Technology Calicut,Computer Science & Engineering,G1,OBC-NCL,592,577
Round 1,National Institute of Technology Delhi,Electronics and Communication Engineering,G1,OBC-NCL,389,364
Round 1,National Institute of Technology Delhi,Power & Energy Systems,G1,SC,257,257
Round 1,National Institute of Technology Delhi,Smart Materials & Technology,G1,SC,281,281
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Biotechnology,G1,OBC-NCL,335,309
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Biotechnology,G1,OPEN,465,393
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,G1,OPEN,472,442
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science & Engineering,G1,OPEN,517,455
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Signal Processing and Machine Learning,G1,SC,254,239
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Structural and Construction Engineering,G1,SC,296,263
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,G1,OPEN,521,468
Round 1,Malaviya National Institute of Technology Jaipur,Civil Engineering (Disaster Assessment and Mitigation),G1,SC,279,253
Round 1,Malaviya National Institute of Technology Jaipur,Power Electronics & Drives,G1,OPEN,543,407
Round 1,Malaviya National Institute of Technology Jaipur,Power Systems,G1,SC,242,231
Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G2,SC,247,247
Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G2,OBC-NCL,509,509
Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G2,OPEN,543,538
Round 1,Malaviya National Institute of Technology Jaipur,Wireless & Optical Communication,G1,SC,267,235
Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,G1,OPEN,667,581
Round 1,Maulana Azad National Institute of Technology Bhopal,Geotechnical Engineering,G1,ST,263,251
Round 1,Maulana Azad National Institute of Technology Bhopal,Housing,G1,OBC-NCL,344,314
Round 1,Maulana Azad National Institute of Technology Bhopal,Information Security,G1,ST,258,245
Round 1,Maulana Azad National Institute of Technology Bhopal,Renewable Energy,G1,OPEN,421,350
Round 1,Maulana Azad National Institute of Technology Bhopal,Computer Networking,G1,OPEN,506,461
Round 1,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,G1,SC,314,270
Round 1,Motilal Nehru National Institute of Technology Allahabad,Environmental Engineering,G1,ST,268,268
Round 1,Motilal Nehru National Institute of Technology Allahabad,Fluids Engineering,G1,OPEN,420,354
Round 1,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,G1,ST,246,246
Round 1,Motilal Nehru National Institute of Technology Allahabad,Structural Engineering,G1,ST,378,378
Round 1,Motilal Nehru National Institute of Technology Allahabad,Transportation Engineering,G1,SC,392,357
Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,G1,OPEN,645,596
Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,OBC-NCL,334,313
Round 1,National Institute of Technology Agartala,Environmental Engineering,G1,OPEN,432,359
Round 1,National Institute of Technology Agartala,Integrated Energy System,G1,OPEN,393,393
Round 1,National Institute of Technology Agartala,Machine Design,G1,OPEN,478,380
Round 1,National Institute of Technology Agartala,VLSI Design,G1,OPEN,459,409
Round 1,National Institute of Technology Calicut,Environmental Geotechnology,G1,EWS,375,367
Round 1,National Institute of Technology Calicut,Electronics Design & Technology,G1,OBC-NCL,542,521
Round 1,National Institute of Technology Calicut,Signal Processing,G1,EWS,501,501
Round 1,National Institute of Technology Calicut,Structural Engineering,G1,EWS,475,468
Round 1,National Institute of Technology Calicut,Water Resource Engineering,G1,EWS,353,339
Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,OPEN,626,603
Round 1,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,G1,EWS,475,463
Round 1,National Institute of Technology Durgapur,Geotechnical Engineering,G1,OPEN,386,351
Round 1,National Institute of Technology Durgapur,Next Generation Communication and Networks,G1,OPEN,476,389
Round 1,National Institute of Technology Durgapur,Thermal Engineering,G1,SC,265,265
Round 1,National Institute of Technology Goa,VLSI,G1,OPEN,509,442
Round 1,National Institute of Technology Hamirpur,Energy Technology,G1,SC,249,207
Round 1,National Institute of Technology Hamirpur,Electronics & Communication Engineering (Communications System and Networks),G1,SC,227,227
Round 1,National Institute of Technology Hamirpur,Computer Science & Engineering (Artificial Intelligence),G1,OBC-NCL,449,408
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Control and Instrumentation Engineering,G2,OBC-NCL,343,343
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial Engineering and Data Analytics,G1,SC,277,277
Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G1,EWS,451,405
Round 1,Malaviya National Institute of Technology Jaipur,Earthquake Engineering,G1,OPEN,378,355
Round 1,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,G1,OPEN,472,422
Round 1,Malaviya National Institute of Technology Jaipur,Industrial Engineering,G1,EWS,461,461
Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G1,OBC-NCL,366,330
Round 1,Malaviya National Institute of Technology Jaipur,Structural Engineering,G1,OPEN,619,510
Round 1,Malaviya National Institute of Technology Jaipur,Transportation Engineering,G1,EWS,460,407
Round 1,Malaviya National Institute of Technology Jaipur,Thermal Engineering,G1,SC,277,211
Round 1,Malaviya National Institute of Technology Jaipur,Urban Planning,G2,OBC-NCL,433,389
Round 1,Malaviya National Institute of Technology Jaipur,Wireless & Optical Communication,G1,OBC-NCL,376,326
Round 1,Malaviya National Institute of Technology Jaipur,Water Resources Engineering,G1,EWS,326,326
Round 1,Maulana Azad National Institute of Technology Bhopal,Advanced Computing,G1,SC,354,299
Round 1,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,G1,OPEN,600,442
Round 1,Maulana Azad National Institute of Technology Bhopal,Electrical Drives,G1,SC,303,282
Round 1,Maulana Azad National Institute of Technology Bhopal,Geoinformatics & Its Applications,G1,OBC-NCL,343,322
Round 1,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,G1,EWS,455,442
Round 1,Motilal Nehru National Institute of Technology Allahabad,Biotechnology,G1,OPEN,515,408
Round 1,Motilal Nehru National Institute of Technology Allahabad,Design Engineering,G1,SC,289,273
Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering in (Artificial Intelligence & Data Science),G1,OPEN,630,573
Round 1,Motilal Nehru National Institute of Technology Allahabad,Geotechnical Engineering,G1,OPEN,458,423
Round 1,Motilal Nehru National Institute of Technology Allahabad,Geoinformatics,G1,OBC-NCL,394,347
Round 1,Motilal Nehru National Institute of Technology Allahabad,Information Security,G1,OPEN,592,558
Round 1,Motilal Nehru National Institute of Technology Allahabad,Thermal Engineering,G1,OBC-NCL,383,368
Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Aided Design & Manufacturing,G1,SC,277,248
Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,G1,ST,318,314
Round 1,National Institute of Technology Agartala,Cyber Security,G1,SC,280,280
Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,SC,239,239
Round 1,National Institute of Technology Agartala,Communication Engineering,G1,OPEN,364,364
Round 1,National Institute of Technology Agartala,Data Science & Engineering,G1,SC,273,273
Round 1,National Institute of Technology Calicut,Environmental Geotechnology,G1,SC,339,300
Round 1,National Institute of Technology Calicut,Machine Design,G1,EWS,505,488
Round 1,National Institute of Technology Calicut,Microelectronics & VLSI Design,G1,OPEN,658,604
Round 1,National Institute of Technology Calicut,Materials Science & Technology,G1,OPEN,406,352
Round 1,National Institute of Technology Delhi,Mathematics & Computing (MC),G1,OBC-NCL,482,467
Round 1,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,G1,ST,250,250
Round 1,National Institute of Technology Delhi,Computer Science & Engineering (Analytics),G1,OBC-NCL,498,468
Round 1,National Institute of Technology Durgapur,Geotechnical Engineering,G1,OBC-NCL,343,329
Round 1,National Institute of Technology Durgapur,Machine Design,G1,OPEN,433,368
Round 1,National Institute of Technology Durgapur,Structural Engineering,G1,ST,268,264
Round 1,National Institute of Technology Durgapur,Computer Science & Engineering,G1,OPEN,577,506
Round 1,National Institute of Technology Goa,Power Electronics & Power Systems,G1,OPEN,373,350
Round 1,National Institute of Technology Goa,Computer Science & Engineering,G1,SC,350,315
Round 1,National Institute of Technology Hamirpur,Civil Engineering (Geotechnical),G1,SC,304,255
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Biotechnology,G1,EWS,304,304
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,G1,EWS,408,404
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Geotechnical & Geo-environmental Engineering,G1,SC,308,288
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Manufacturing Technology with Machine Learning,G1,OPEN,539,495
Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,G1,ST,302,292
Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G2,SC,273,273
Round 1,Malaviya National Institute of Technology Jaipur,Industrial Engineering,G2,SC,297,297
Round 1,Maulana Azad National Institute of Technology Bhopal,Industrial Engineering & Management,G1,OBC-NCL,337,283
Round 1,Maulana Azad National Institute of Technology Bhopal,Power System,G1,OBC-NCL,339,339
Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering in (Artificial Intelligence & Data Science),G1,EWS,558,552
Round 1,Motilal Nehru National Institute of Technology Allahabad,Geotechnical Engineering,G1,EWS,407,407
Round 1,Motilal Nehru National Institute of Technology Allahabad,Engineering Mechanics and Design,G1,SC,251,246
Round 1,National Institute of Technology Agartala,Geotechnical Engineering,G1,ST,276,276
Round 1,National Institute of Technology Agartala,Transportation Engineering,G1,OPEN,374,374
Round 1,National Institute of Technology Calicut,Industrial Power & Automation,G1,OPEN,442,390
Round 1,National Institute of Technology Calicut,Offshore Structures,G1,EWS,389,374
Round 1,National Institute of Technology Calicut,Power Systems,G1,SC,263,243
Round 1,National Institute of Technology Calicut,Thermal Sciences,G1,EWS,406,399
Round 1,National Institute of Technology Calicut,Traffic & Transportation Planning,G1,OPEN,478,446
Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,EWS,581,581
Round 1,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,G1,OBC-NCL,513,480
Round 1,National Institute of Technology Delhi,Electronics and Communication Engineering with specialisation in VLSI,G1,OPEN-PwD,243,243
Round 1,National Institute of Technology Durgapur,Microelectronics & VLSI,G1,OPEN,571,513
Round 1,National Institute of Technology Hamirpur,Civil Engineering (Transportation),G1,ST,308,308
Round 1,National Institute of Technology Hamirpur,Civil Engineering (Water Resources),G1,OPEN,400,400
Round 1,National Institute of Technology Hamirpur,Mechanical Engineering (Computational Thermal Engineering),G1,OPEN,505,505
Round 1,National Institute of Technology Hamirpur,Computer Science & Engineering,G1,SC,393,333
Round 1,"National Institute of Technology Karnataka, Surathkal",Environmental Engineering,G1,EWS,440,422
Round 1,"National Institute of Technology Karnataka, Surathkal",Geoinformatics,G1,OBC-NCL,392,349
Round 1,"National Institute of Technology Karnataka, Surathkal",Industrial Biotechnology,G1,OPEN,624,477
Round 1,"National Institute of Technology Karnataka, Surathkal",Materials Engineering,G1,SC,325,247
Round 1,"National Institute of Technology Karnataka, Surathkal",Power & Energy Systems,G1,SC,384,287
Round 1,"National Institute of Technology Karnataka, Surathkal",Structural Engineering,G1,EWS,554,542
Round 1,"National Institute of Technology Karnataka, Surathkal",Water Resources Engineering & Management,G1,SC,333,312
Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,ST,408,389
Round 1,National Institute of Technology Nagaland,VLSI Systems,G1,OBC-NCL,339,339
Round 1,National Institute of Technology Nagaland,Computer Science & Engineering,G1,EWS,329,329
Round 1,National Institute of Technology Patna,Control System Engineering,G1,SC,259,214
Round 1,National Institute of Technology Patna,Data Science & Engineering,G1,OBC-NCL,442,393
Round 1,National Institute of Technology Patna,Microelectronics and VLSI System Design,G1,OBC-NCL,447,413
Round 1,National Institute of Technology Puducherry,Computer Science & Engineering,G1,OBC-NCL,434,416
Round 1,National Institute of Technology Raipur,Information Technology,G1,EWS,416,397
Round 1,National Institute of Technology Raipur,Information Technology,G3,OBC-NCL,386,386
Round 1,National Institute of Technology Raipur,Information Technology,G3,OPEN,472,472
Round 1,National Institute of Technology Raipur,Thermal Engineering,G1,OBC-NCL,342,342
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Design Engineering,G1,SC,262,258
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Renewable Energy,G1,SC,251,251
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science & Engineering,G1,OBC-NCL,423,401
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,G1,OBC-NCL,457,423
Round 1,Malaviya National Institute of Technology Jaipur,Chemical Engineering,G2,OPEN,403,403
Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G1,OPEN,538,472
Round 1,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,G1,EWS,389,372
Round 1,Malaviya National Institute of Technology Jaipur,Power Systems Management,G1,OPEN,350,350
Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G1,OPEN,554,380
Round 1,Malaviya National Institute of Technology Jaipur,Structural Engineering,G1,ST,460,460
Round 1,Malaviya National Institute of Technology Jaipur,Urban Planning,G1,SC,310,238
Round 1,Malaviya National Institute of Technology Jaipur,Urban Planning,G1,ST,271,266
Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G2,EWS,480,480
Round 1,Maulana Azad National Institute of Technology Bhopal,Biotechnology,G1,OBC-NCL,335,314
Round 1,Maulana Azad National Institute of Technology Bhopal,Geotechnical Engineering,G1,OBC-NCL,351,340
Round 1,Maulana Azad National Institute of Technology Bhopal,Housing,G1,SC,182,182
Round 1,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,G1,EWS,394,382
Round 1,Maulana Azad National Institute of Technology Bhopal,Transportation Engineering,G1,SC,308,300
Round 1,Maulana Azad National Institute of Technology Bhopal,Urban Planning,G1,EWS,310,310
Round 1,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,G1,ST,272,243
Round 1,Motilal Nehru National Institute of Technology Allahabad,Biotechnology,G1,EWS,377,328
Round 1,Motilal Nehru National Institute of Technology Allahabad,Environmental Engineering,G1,EWS,402,370
Round 1,Motilal Nehru National Institute of Technology Allahabad,Fluids Engineering,G1,OBC-NCL,349,340
Round 1,Motilal Nehru National Institute of Technology Allahabad,Geoinformatics,G1,OPEN,565,444
Round 1,Motilal Nehru National Institute of Technology Allahabad,Engineering Mechanics and Design,G1,OPEN,522,395
Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,G1,EWS,596,566
